Date,Close,High,Low,Open,Volume
2015-10-26,4166400000.0,4236800000.0,4096000000.0,4198400000.0,0
2015-10-27,4166400000.0,4294400000.0,4121600000.0,4160000000.0,0
2015-10-28,4198400000.0,4416000000.0,4153600000.0,4224000000.0,0
2015-10-29,4153600000.0,4268800000.0,4102400000.0,4198400000.0,0
2015-10-30,4224000000.0,4377600000.0,4096000000.0,4153600000.0,0
2015-11-02,4569600000.0,4704000000.0,4224000000.0,4224000000.0,0
2015-11-03,4537600000.0,4652800000.0,4492800000.0,4588800000.0,0
2015-11-04,4620800000.0,4768000000.0,4595200000.0,4627200000.0,0
2015-11-05,4377600000.0,4665600000.0,4326400000.0,4665600000.0,0
2015-11-06,4518400000.0,4595200000.0,4275200000.0,4409600000.0,0
2015-11-09,4307200000.0,4531200000.0,4224000000.0,4480000000.0,0
2015-11-10,4236800000.0,4326400000.0,4140800000.0,4307200000.0,0
2015-11-11,4096000000.0,4230400000.0,4032000000.0,4230400000.0,0
2015-11-12,3923200000.0,4192000000.0,3872000000.0,4096000000.0,0
2015-11-13,4262400000.0,4384000000.0,3884800000.0,3910400000.0,0
2015-11-16,4147200000.0,4281600000.0,4115200000.0,4281600000.0,0
2015-11-17,4140800000.0,4204800000.0,4051200000.0,4134400000.0,0
2015-11-18,4211200000.0,4268800000.0,3968000000.0,4160000000.0,0
2015-11-19,4128000000.0,4307200000.0,4121600000.0,4192000000.0,0
2015-11-20,4198400000.0,4217600000.0,4038400000.0,4121600000.0,0
2015-11-23,4217600000.0,4352000000.0,4134400000.0,4192000000.0,0
2015-11-24,4294400000.0,4307200000.0,4192000000.0,4192000000.0,0
2015-11-25,4524800000.0,4556800000.0,4288000000.0,4288000000.0,0
2015-11-27,4646400000.0,4652800000.0,4467200000.0,4505600000.0,0
2015-11-30,4640000000.0,4723200000.0,4499200000.0,4601600000.0,0
2015-12-01,4627200000.0,4723200000.0,4563200000.0,4582400000.0,0
2015-12-02,4633600000.0,4665600000.0,4563200000.0,4582400000.0,0
2015-12-03,4460800000.0,4665600000.0,4448000000.0,4640000000.0,0
2015-12-04,4358400000.0,4467200000.0,4230400000.0,4448000000.0,0
2015-12-07,4448000000.0,4473600000.0,4217600000.0,4377600000.0,0
2015-12-08,4499200000.0,4588800000.0,4409600000.0,4454400000.0,0
2015-12-09,4467200000.0,4576000000.0,4403200000.0,4460800000.0,0
2015-12-10,4460800000.0,4499200000.0,4403200000.0,4454400000.0,0
2015-12-11,4294400000.0,4550400000.0,4288000000.0,4396800000.0,0
2015-12-14,4249600000.0,4364800000.0,4064000000.0,4275200000.0,0
2015-12-15,4454400000.0,4697600000.0,4358400000.0,4480000000.0,0
2015-12-16,4320000000.0,4550400000.0,4275200000.0,4473600000.0,0
2015-12-17,4140800000.0,4428800000.0,4096000000.0,4320000000.0,0
2015-12-18,4166400000.0,4345600000.0,4012800000.0,4108800000.0,0
2015-12-21,4217600000.0,4396800000.0,4172800000.0,4172800000.0,0
2015-12-22,4211200000.0,4345600000.0,4128000000.0,4211200000.0,0
2015-12-23,4435200000.0,4467200000.0,4198400000.0,4288000000.0,0
2015-12-24,4608000000.0,4665600000.0,4409600000.0,4428800000.0,0
2015-12-28,4563200000.0,4704000000.0,4416000000.0,4608000000.0,0
2015-12-29,4985600000.0,5017600000.0,4576000000.0,4576000000.0,0
2015-12-30,4908800000.0,5011200000.0,4716800000.0,4716800000.0,0
2015-12-31,4908800000.0,4928000000.0,4793600000.0,4915200000.0,0
2016-01-04,4876800000.0,4979200000.0,4729600000.0,4825600000.0,0
2016-01-05,4889600000.0,5088000000.0,4800000000.0,4928000000.0,0
2016-01-06,4736000000.0,4844800000.0,4640000000.0,4819200000.0,0
2016-01-07,4300800000.0,4633600000.0,4204800000.0,4633600000.0,0
2016-01-08,4256000000.0,4499200000.0,4121600000.0,4345600000.0,0
2016-01-11,3833600000.0,4358400000.0,3769600000.0,4294400000.0,0
2016-01-12,3820800000.0,4000000000.0,3526400000.0,3859200000.0,0
2016-01-13,3225600000.0,3859200000.0,3212800000.0,3846400000.0,0
2016-01-14,3264000000.0,3449600000.0,2579200000.0,3276800000.0,0
2016-01-15,3200000000.0,3251200000.0,2905600000.0,3168000000.0,0
2016-01-19,2969600000.0,3347200000.0,2924800000.0,3232000000.0,0
2016-01-20,3123200000.0,3142400000.0,2624000000.0,2905600000.0,0
2016-01-21,3161600000.0,3315200000.0,3008000000.0,3129600000.0,0
2016-01-22,3270400000.0,3328000000.0,3155200000.0,3238400000.0,0
2016-01-25,3308800000.0,3436800000.0,3193600000.0,3244800000.0,0
2016-01-26,3366400000.0,3456000000.0,3142400000.0,3308800000.0,0
2016-01-27,3155200000.0,3379200000.0,3136000000.0,3366400000.0,0
2016-01-28,2995200000.0,3302400000.0,2924800000.0,3219200000.0,0
2016-01-29,3097600000.0,3123200000.0,2828800000.0,3059200000.0,0
2016-02-01,3161600000.0,3187200000.0,2892800000.0,3091200000.0,0
2016-02-02,3001600000.0,3084800000.0,2918400000.0,3084800000.0,0
2016-02-03,2841600000.0,3020800000.0,2777600000.0,3020800000.0,0
2016-02-04,2880000000.0,2963200000.0,2803200000.0,2848000000.0,0
2016-02-05,2828800000.0,2905600000.0,2784000000.0,2854400000.0,0
2016-02-08,2515200000.0,2803200000.0,2400000000.0,2796800000.0,0
2016-02-09,2438400000.0,2547200000.0,2265600000.0,2400000000.0,0
2016-02-10,2412800000.0,2592000000.0,2380800000.0,2515200000.0,0
2016-02-11,2432000000.0,2579200000.0,2361600000.0,2400000000.0,0
2016-02-12,2585600000.0,2617600000.0,2380800000.0,2400000000.0,0
2016-02-16,1644800000.0,1830400000.0,1587200000.0,1600000000.0,0
2016-02-17,1798400000.0,1849600000.0,1657600000.0,1657600000.0,0
2016-02-18,1683200000.0,1913600000.0,1664000000.0,1824000000.0,0
2016-02-19,1670400000.0,1772800000.0,1664000000.0,1664000000.0,0
2016-02-22,1785600000.0,1811200000.0,1676800000.0,1696000000.0,0
2016-02-23,1779200000.0,1843200000.0,1747200000.0,1772800000.0,0
2016-02-24,1785600000.0,1824000000.0,1689600000.0,1753600000.0,0
2016-02-25,1772800000.0,1824000000.0,1721600000.0,1792000000.0,0
2016-02-26,1715200000.0,1766400000.0,1670400000.0,1696000000.0,0
2016-02-29,1587200000.0,1728000000.0,1568000000.0,1715200000.0,0
2016-03-01,1497600000.0,1683200000.0,1452800000.0,1568000000.0,0
2016-03-02,1523200000.0,1542400000.0,1459200000.0,1510400000.0,0
2016-03-03,1580800000.0,1593600000.0,1510400000.0,1542400000.0,0
2016-03-04,1542400000.0,1632000000.0,1510400000.0,1587200000.0,0
